sales_order,amount,currency,items,deliveries,invoices,customer_payments,complete_flow
740506,17108.25,INR,5,1,0,0,False
740507,19021.27,INR,4,1,0,0,False
740508,883.88,INR,4,1,0,0,False
740509,229.66,INR,1,1,0,106,False
740510,221.19,INR,1,1,0,106,False
740511,250.0,INR,1,1,0,106,False
740512,249.15,INR,1,1,0,106,False
740513,363.56,INR,1,1,0,106,False
740514,363.56,INR,1,1,0,106,False
740515,363.56,INR,1,1,0,106,False
740516,272.88,INR,2,1,0,106,False
740517,363.56,INR,1,1,0,106,False
740518,363.56,INR,1,1,0,106,False
740519,329.66,INR,1,1,0,106,False
740520,253.39,INR,1,1,0,106,False
740521,363.56,INR,1,1,0,106,False
740522,329.66,INR,1,1,0,106,False
740523,363.56,INR,1,1,0,106,False
740524,253.39,INR,1,1,0,106,False
740525,215.25,INR,1,1,0,106,False
740526,185.59,INR,1,1,0,106,False
740527,449.24,INR,2,1,0,106,False
740528,253.39,INR,1,1,0,106,False
740529,216.1,INR,1,1,0,106,False
740530,179.66,INR,1,1,0,106,False
740531,215.25,INR,1,1,0,106,False
740532,167.0,INR,1,1,0,14,False
740533,382.9,INR,2,1,0,14,False
740534,310.76,INR,1,1,0,106,False
740535,179.0,INR,1,1,0,14,False
740536,168.64,INR,1,1,0,106,False
740537,245.9,INR,1,1,0,14,False
740538,287.29,INR,1,1,0,106,False
740539,254.0,INR,1,1,0,14,False
740540,253.39,INR,1,1,0,106,False
740541,299.0,INR,1,1,0,14,False
740542,589.95,INR,3,1,0,14,False
740543,245.9,INR,1,1,0,14,False
740544,287.9,INR,1,1,0,14,False
740545,179.66,INR,1,1,0,0,False
740546,221.19,INR,1,1,0,0,False
740547,180.34,INR,1,1,0,106,False
740548,151.69,INR,1,1,0,106,False
740549,2033.65,INR,12,1,0,106,False
740550,329.66,INR,1,1,0,106,False
740551,221.19,INR,1,1,0,106,False
740552,216.1,INR,1,1,0,106,False
740553,561.14,INR,2,1,0,106,False
740554,422.88,INR,1,1,0,106,False
740555,429.66,INR,3,1,0,106,False
740556,439.83,INR,5,1,0,106,False
740557,439.83,INR,5,1,0,106,False
740558,179.66,INR,1,1,0,106,False
740559,375.42,INR,1,1,0,106,False
740560,253.39,INR,1,1,0,106,False
740561,422.03,INR,1,1,0,106,False
740562,843.73,INR,2,1,0,106,False
740563,481.44,INR,1,1,0,106,False
740564,761.86,INR,6,1,0,106,False
740565,422.03,INR,1,1,0,106,False
740566,337.29,INR,1,1,0,106,False
740567,191.53,INR,1,1,0,106,False
740568,455.93,INR,1,1,0,106,False
740569,422.03,INR,1,1,0,106,False
740570,422.03,INR,1,1,0,106,False
740571,253.39,INR,1,1,0,106,False
740572,215.25,INR,1,1,0,106,False
740573,842.93,INR,2,1,0,106,False
740574,327.97,INR,2,1,0,106,False
740575,215.25,INR,1,1,0,106,False
740576,473.73,INR,1,1,0,106,False
740577,464.41,INR,1,1,0,106,False
740578,464.41,INR,1,1,0,106,False
740579,464.41,INR,1,1,0,106,False
740580,464.41,INR,1,1,0,106,False
740581,205.93,INR,1,1,0,106,False
740582,216.1,INR,1,1,0,106,False
740583,216.1,INR,1,1,0,106,False
740584,150.85,INR,1,0,0,0,False
740585,177.97,INR,1,0,0,0,False
740586,422.03,INR,1,1,0,106,False
740587,464.41,INR,1,1,0,106,False
740588,118.65,INR,1,0,0,0,False
740589,131.31,INR,5,0,0,0,False
740590,464.41,INR,1,1,0,106,False
740591,303.39,INR,3,0,0,0,False
740592,634.75,INR,1,1,0,106,False
740593,422.04,INR,1,0,0,0,False
740594,337.29,INR,1,0,0,0,False
740595,215.25,INR,1,1,0,106,False
740596,202.54,INR,1,0,0,0,False
740597,118.64,INR,1,0,0,0,False
740598,533.05,INR,4,1,0,106,False
740599,202.56,INR,3,0,0,0,False
740600,169.49,INR,1,0,0,0,False
740601,464.41,INR,1,1,0,106,False
740602,131.38,INR,5,0,0,0,False
740603,133.9,INR,1,0,0,0,False
740604,1091.53,INR,4,1,0,106,False
740605,435.57,INR,5,0,0,0,False
