product_id,product_type,product_group,times_ordered,available_at_plants
3001456,ZPKG,ZPKG004,1,44
3001468,ZPKG,ZPKG004,1,44
B8907367002246,ZF01,ZFG1001,1,44
B8907367015697,ZF01,ZFG1001,1,44
B8907367022152,ZF01,ZFG1001,1,44
B8907367032571,ZF01,ZFG1001,2,44
B8907367032649,ZF01,ZFG1001,1,44
B8907367037842,ZF01,ZFG1001,1,44
B8907367037859,ZF01,ZFG1001,3,44
S8907367000327,ZFS1,ZFG1001,3,44
S8907367001003,ZFS1,ZFG1001,9,44
S8907367001836,ZFS1,ZFG1001,1,44
S8907367001843,ZFS1,ZFG1001,1,44
S8907367001850,ZFS1,ZFG1001,1,44
S8907367001867,ZFS1,ZFG1001,1,44
S8907367001874,ZFS1,ZFG1001,1,44
S8907367002512,ZFS1,ZFG1001,4,44
S8907367002550,ZFS1,ZFG1001,1,44
S8907367003311,ZFS1,ZFG1001,2,44
S8907367003380,ZFS1,ZFG1001,2,44
S8907367004448,ZFS1,ZFG1001,2,44
S8907367008620,ZFS1,ZFG1001,11,44
S8907367010814,ZFS1,ZFG1001,6,44
S8907367011866,ZFS1,ZFG1001,1,44
S8907367013082,ZFS1,ZFG1001,1,44
S8907367013532,ZFS1,ZFG1001,8,44
S8907367013587,ZFS1,ZFG1001,2,44
S8907367014447,ZFS1,ZFG1001,1,44
S8907367014867,ZFS1,ZFG1001,1,44
S8907367016144,ZFS1,ZFG1001,3,44
S8907367020035,ZFS1,ZFG1001,3,44
S8907367020073,ZFS1,ZFG1001,1,44
S8907367025344,ZFS1,ZFG1001,6,44
S8907367025412,ZFS1,ZFG1001,2,44
S8907367026433,ZFS1,ZFG1001,1,44
S8907367028192,ZFS1,ZFG1001,1,44
S8907367029021,ZFS1,ZFG1001,2,44
S8907367029038,ZFS1,ZFG1001,1,44
S8907367035664,ZFS1,ZFG1001,8,44
S8907367035961,ZFS1,ZFG1001,3,44
S8907367035978,ZFS1,ZFG1001,3,44
S8907367035985,ZFS1,ZFG1001,3,44
S8907367035992,ZFS1,ZFG1001,3,44
S8907367036722,ZFS1,ZFG1001,1,44
S8907367037156,ZFS1,ZFG1001,1,44
S8907367038108,ZFS1,ZFG1001,2,44
S8907367038122,ZFS1,ZFG1001,4,44
S8907367039280,ZFS1,ZFG1001,11,44
S8907367041993,ZFS1,ZFG1001,2,44
S8907367042006,ZFS1,ZFG1001,8,44
B8907367022787,ZF01,ZFG1001,1,44
B8907367024125,ZF01,ZFG1001,2,44
B8907367028406,ZF01,ZFG1001,1,44
B8907367039570,ZF01,ZFG1001,1,44
B8907367041603,ZF01,ZFG1001,1,44
S8907367002499,ZFS1,ZFG1001,1,44
S8907367003342,ZFS1,ZFG1001,1,44
S8907367015277,ZFS1,ZFG1001,1,44
S8907367020042,ZFS1,ZFG1001,1,44
S8907367020783,ZFS1,ZFG1001,1,44
S8907367020790,ZFS1,ZFG1001,4,44
S8907367023128,ZFS1,ZFG1001,2,44
S8907367023135,ZFS1,ZFG1001,2,44
S8907367023142,ZFS1,ZFG1001,2,44
S8907367023159,ZFS1,ZFG1001,2,44
S8907367028659,ZFS1,ZFG1001,1,44
S8907367031635,ZFS1,ZFG1001,1,44
S8907367039303,ZFS1,ZFG1001,1,44
S8907367759287,ZFS1,ZFG1001,1,44
