billing_document,billing_document_item,material,billing_quantity,billing_quantity_unit,net_amount,transaction_currency,reference_sd_document,reference_sd_document_item
90504298,10,B8907367041603,1,PC,533.05,INR,80738109,10
90678703,10,B8907367032571,1,PC,305.9,INR,80754606,10
90678698,10,B8907367022152,1,PC,382.9,INR,80754601,10
90504301,10,B8907367039570,1,PC,1091.53,INR,80738111,10
90678702,10,S8907367008620,1,PC,299.0,INR,80754605,10
90678703,30,S8907367008620,1,PC,284.05,INR,80754606,30
90628266,10,S8907367002512,1,PC,287.9,INR,80754576,10
90628265,10,S8907367013532,1,PC,245.9,INR,80754575,10
90678700,10,S8907367013532,1,PC,245.9,INR,80754603,10
90678699,10,S8907367025344,1,PC,179.0,INR,80754602,10
90678696,10,S8907367013587,1,PC,167.0,INR,80754574,10
90678698,20,S8907367011866,2,PC,0.0,INR,80754601,20
90678703,20,S8907367025412,2,PC,0.0,INR,80754606,20
90504279,20,S8907367013082,2,PC,0.0,INR,80738094,20
90504279,10,B8907367032649,1,PC,327.97,INR,80738094,10
91150083,10,B8907367032571,1,PC,305.9,INR,80754606,10
91150083,20,S8907367025412,2,PC,0.0,INR,80754606,20
91150083,30,S8907367008620,1,PC,284.05,INR,80754606,30
91150084,10,S8907367008620,1,PC,299.0,INR,80754605,10
91150085,10,S8907367004448,1,PC,254.0,INR,80754604,10
91150086,10,S8907367013532,1,PC,245.9,INR,80754603,10
91150087,10,S8907367025344,1,PC,179.0,INR,80754602,10
91150088,10,B8907367022152,1,PC,382.9,INR,80754601,10
91150088,20,S8907367011866,2,PC,0.0,INR,80754601,20
91150090,10,S8907367013587,1,PC,167.0,INR,80754574,10
91150147,10,B8907367039570,1,PC,1091.53,INR,80738111,10
91150147,20,S8907367015277,1,PC,0.0,INR,80738111,20
91150147,30,S8907367020035,1,PC,0.0,INR,80738111,30
91150147,40,S8907367020042,1,PC,0.0,INR,80738111,40
91150148,10,S8907367042006,1,PC,464.41,INR,80738110,10
91150149,10,B8907367041603,1,PC,533.05,INR,80738109,10
91150149,20,S8907367016144,1,PC,0.0,INR,80738109,20
91150149,30,S8907367029021,1,PC,0.0,INR,80738109,30
91150149,40,S8907367010814,1,PC,0.0,INR,80738109,40
91150150,10,S8907367002512,1,PC,215.25,INR,80738108,10
91150151,10,S8907367020035,1,PC,634.75,INR,80738107,10
91150152,10,S8907367042006,1,PC,464.41,INR,80738106,10
91150153,10,S8907367042006,1,PC,464.41,INR,80738105,10
91150154,10,S8907367031635,1,PC,422.03,INR,80738104,10
91150155,10,S8907367001003,1,PC,216.1,INR,80738103,10
91150156,10,S8907367001003,1,PC,216.1,INR,80738102,10
91150157,10,S8907367002499,1,PC,205.93,INR,80738101,10
91150158,10,S8907367042006,1,PC,464.41,INR,80738100,10
91150159,10,S8907367042006,1,PC,464.41,INR,80738099,10
91150160,10,S8907367042006,1,PC,464.41,INR,80738098,10
91150161,10,S8907367042006,1,PC,464.41,INR,80738097,10
91150162,10,S8907367039303,1,PC,473.73,INR,80738096,10
91150163,10,S8907367003311,1,PC,215.25,INR,80738095,10
91150164,10,B8907367032649,1,PC,327.97,INR,80738094,10
91150164,20,S8907367013082,2,PC,0.0,INR,80738094,20
91150165,10,S8907367041993,1,PC,401.74,INR,80738093,10
91150165,20,S8907367042006,1,PC,441.19,INR,80738093,20
91150166,10,S8907367003311,1,PC,215.25,INR,80738092,10
91150167,10,S8907367003380,1,PC,253.39,INR,80738091,10
91150168,10,S8907367035664,1,PC,422.03,INR,80738090,10
91150169,10,S8907367035664,1,PC,422.03,INR,80738089,10
91150170,10,S8907367035664,1,PC,455.93,INR,80738088,10
91150171,10,S8907367014867,1,PC,191.53,INR,80738087,10
91150172,10,S8907367010814,1,PC,337.29,INR,80738086,10
90504248,10,S8907367001003,1,PC,216.1,INR,80738072,10
90504267,10,S8907367010814,1,PC,337.29,INR,80738086,10
90504269,10,S8907367014867,1,PC,191.53,INR,80738087,10
90504270,10,S8907367035664,1,PC,455.93,INR,80738088,10
90504272,10,S8907367035664,1,PC,422.03,INR,80738089,10
90504273,10,S8907367035664,1,PC,422.03,INR,80738090,10
90504274,10,S8907367003380,1,PC,253.39,INR,80738091,10
90504276,10,S8907367003311,1,PC,215.25,INR,80738092,10
90504277,10,S8907367041993,1,PC,401.74,INR,80738093,10
90504277,20,S8907367042006,1,PC,441.19,INR,80738093,20
90504280,10,S8907367003311,1,PC,215.25,INR,80738095,10
90504281,10,S8907367039303,1,PC,473.73,INR,80738096,10
90504283,10,S8907367042006,1,PC,464.41,INR,80738097,10
90504284,10,S8907367042006,1,PC,464.41,INR,80738098,10
90504285,10,S8907367042006,1,PC,464.41,INR,80738099,10
90504286,10,S8907367042006,1,PC,464.41,INR,80738100,10
90504288,10,S8907367002499,1,PC,205.93,INR,80738101,10
90504289,10,S8907367001003,1,PC,216.1,INR,80738102,10
90504290,10,S8907367001003,1,PC,216.1,INR,80738103,10
90504292,10,S8907367031635,1,PC,422.03,INR,80738104,10
90504293,10,S8907367042006,1,PC,464.41,INR,80738105,10
90504295,10,S8907367042006,1,PC,464.41,INR,80738106,10
90504296,10,S8907367020035,1,PC,634.75,INR,80738107,10
90504297,10,S8907367002512,1,PC,215.25,INR,80738108,10
90504298,20,S8907367016144,1,PC,0.0,INR,80738109,20
90504298,30,S8907367029021,1,PC,0.0,INR,80738109,30
90504298,40,S8907367010814,1,PC,0.0,INR,80738109,40
90504300,10,S8907367042006,1,PC,464.41,INR,80738110,10
90504301,20,S8907367015277,1,PC,0.0,INR,80738111,20
90504301,30,S8907367020035,1,PC,0.0,INR,80738111,30
90504301,40,S8907367020042,1,PC,0.0,INR,80738111,40
90678701,10,S8907367004448,1,PC,254.0,INR,80754604,10
90504204,10,S8907367013532,1,PC,229.66,INR,80738040,10
90504206,10,S8907367038122,1,PC,221.19,INR,80738041,10
