customer,sales_organization,distribution_channel,division,billing_is_blocked_for_customer,complete_delivery_is_defined,credit_control_area,currency,customer_payment_terms,delivery_priority,incoterms_classification,incoterms_location1,sales_group,sales_office,shipping_condition,sls_unlmtd_ovrdeliv_is_allwd,supplying_plant,sales_district,exchange_rate_type
310000108,ABCD,5.0,99,,False,,INR,Z009,0,FOR,Millerborough,,,1.0,False,,,M
310000108,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
310000109,ABCD,5.0,99,,False,,INR,Z009,0,FOR,Millerborough,,,1.0,False,,,M
310000109,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
320000082,ABCD,5.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000082,ABCD,10.0,99,,False,,INR,Z001,0,,,,,,False,,,
320000082,ABCD,11.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000082,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
320000083,ABCD,5.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000083,ABCD,10.0,99,,False,,INR,Z001,0,,,,,,False,,,
320000083,ABCD,11.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000083,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
320000085,ABCD,5.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000085,ABCD,10.0,99,,False,,INR,Z001,0,,,,,,False,,,
320000085,ABCD,11.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000085,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
320000088,ABCD,5.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000088,ABCD,10.0,99,,False,,INR,Z001,0,,,,,,False,,,
320000088,ABCD,11.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000088,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
320000107,ABCD,5.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000107,ABCD,10.0,99,,False,,INR,Z001,0,FOR,Lake David,,,,False,,,
320000107,ABCD,11.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000107,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
320000108,ABCD,5.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000108,ABCD,10.0,99,,False,,INR,Z001,0,,,,,,False,,,
320000108,ABCD,11.0,99,,False,,INR,Z001,0,FOR,Lake David,,,1.0,False,,,
320000108,ABCD,,99,,False,,INR,Z001,0,FOR,Wellsborough,,,1.0,False,,,
