actual_goods_movement_date,actual_goods_movement_time,creation_date,creation_time,delivery_block_reason,delivery_document,hdr_general_incompletion_status,header_billing_block_reason,last_change_date,overall_goods_movement_status,overall_picking_status,overall_proof_of_delivery_status,shipping_point
,,2025-03-31 00:00:00+00:00,,,80737721,C,,,A,C,,1920
,,2025-03-31 00:00:00+00:00,,,80737722,C,,,A,C,,1920
,,2025-03-31 00:00:00+00:00,,,80737723,C,,,A,C,,1920
,,2025-04-02 00:00:00+00:00,,,80737921,C,,2025-07-24 00:00:00+00:00,A,C,,KA05
,,2025-04-02 00:00:00+00:00,,,80737922,C,,2025-07-24 00:00:00+00:00,A,C,,MH05
,,2025-04-02 00:00:00+00:00,,,80738040,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738041,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738042,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738043,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738044,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738045,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738046,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738047,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738048,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738049,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738050,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738051,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738052,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738053,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738054,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738055,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738056,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738057,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
