actual_delivery_quantity,batch,delivery_document,delivery_document_item,delivery_quantity_unit,item_billing_block_reason,last_change_date,plant,reference_sd_document,reference_sd_document_item,storage_location
1,,80738076,10,PC,,,WB05,740556,10,5031.0
1,ABCD,80738076,20,PC,,,WB05,740556,20,5031.0
1,ABCD,80738076,30,PC,,,WB05,740556,30,5031.0
1,ABCD,80738076,40,PC,,,WB05,740556,40,5031.0
1,ABCD,80738076,50,PC,,,WB05,740556,50,5031.0
1,,80738077,10,PC,,,WB05,740557,10,5031.0
1,ABCD,80738077,20,PC,,,WB05,740557,20,5031.0
1,ABCD,80738077,30,PC,,,WB05,740557,30,5031.0
1,ABCD,80738077,40,PC,,,WB05,740557,40,5031.0
1,ABCD,80738077,50,PC,,,WB05,740557,50,5031.0
1,ABCD,80738078,10,PC,,,WB05,740558,10,5031.0
1,ABCD,80738079,10,PC,,,WB05,740559,10,5031.0
1,ABCD,80738080,10,PC,,,WB05,740560,10,5031.0
1,ABCD,80738081,10,PC,,,WB05,740561,10,5031.0
1,ABCD,80738082,10,PC,,,WB05,740562,10,5031.0
1,ABCD,80738082,20,PC,,,WB05,740562,20,5031.0
2,ABCD,80738083,10,PC,,,WB05,740563,10,5031.0
1,,80738084,10,PC,,,WB05,740564,10,5031.0
1,ABCD,80738084,20,PC,,,WB05,740564,20,5031.0
1,ABCD,80738084,30,PC,,,WB05,740564,30,5031.0
1,ABCD,80738084,40,PC,,,WB05,740564,40,5031.0
1,ABCD,80738084,50,PC,,,WB05,740564,50,5031.0
1,ABCD,80738084,60,PC,,,WB05,740564,60,5031.0
1,ABCD,80738085,10,PC,,,WB05,740565,10,5031.0
1,ABCD,80738086,10,PC,,,WB05,740566,10,5031.0
1,ABCD,80738087,10,PC,,,WB05,740567,10,5031.0
1,ABCD,80738088,10,PC,,,WB05,740568,10,5031.0
1,ABCD,80738089,10,PC,,,WB05,740569,10,5031.0
1,ABCD,80738090,10,PC,,,WB05,740570,10,5031.0
1,ABCD,80738091,10,PC,,,WB05,740571,10,5031.0
1,ABCD,80738092,10,PC,,,WB05,740572,10,5031.0
1,ABCD,80738093,10,PC,,,WB05,740573,10,5031.0
1,ABCD,80738093,20,PC,,,WB05,740573,20,5031.0
1,,80738094,10,PC,,,WB05,740574,10,5031.0
2,ABCD,80738094,20,PC,,,WB05,740574,20,5031.0
1,ABCD,80738095,10,PC,,,WB05,740575,10,5031.0
1,ABCD,80738096,10,PC,,,WB05,740576,10,5031.0
1,ABCD,80738097,10,PC,,,WB05,740577,10,5031.0
1,ABCD,80738098,10,PC,,,WB05,740578,10,5031.0
1,ABCD,80738099,10,PC,,,WB05,740579,10,5031.0
1,ABCD,80738100,10,PC,,,WB05,740580,10,5031.0
1,ABCD,80738101,10,PC,,,WB05,740581,10,5031.0
1,ABCD,80738102,10,PC,,,WB05,740582,10,5031.0
1,ABCD,80738103,10,PC,,,WB05,740583,10,5031.0
1,ABCD,80738104,10,PC,,,WB05,740586,10,5031.0
1,ABCD,80738105,10,PC,,,WB05,740587,10,5031.0
1,ABCD,80738106,10,PC,,,WB05,740590,10,5031.0
1,ABCD,80738107,10,PC,,,WB05,740592,10,5031.0
1,ABCD,80738108,10,PC,,,WB05,740595,10,5031.0
1,,80738109,10,PC,,,WB05,740598,10,5031.0
1,ABCD,80738109,20,PC,,,WB05,740598,20,5031.0
1,ABCD,80738109,30,PC,,,WB05,740598,30,5031.0
1,ABCD,80738109,40,PC,,,WB05,740598,40,5031.0
