company_code,fiscal_year,accounting_document,accounting_document_item,clearing_date,clearing_accounting_document,clearing_doc_fiscal_year,amount_in_transaction_currency,transaction_currency,amount_in_company_code_currency,company_code_currency,customer,invoice_reference,invoice_reference_fiscal_year,sales_document,sales_document_item,posting_date,document_date,assignment_reference,gl_account,financial_account_type,profit_center,cost_center
ABCD,2025,9400000220,1,2025-04-02 00:00:00+00:00,9400635977,2025,897.03,INR,897.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000226,1,2025-04-02 00:00:00+00:00,9400635973,2025,897.0,INR,897.0,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000231,1,2025-04-02 00:00:00+00:00,9400635969,2025,897.03,INR,897.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000238,1,2025-04-02 00:00:00+00:00,9400635964,2025,597.0,INR,597.0,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000239,1,2025-04-02 00:00:00+00:00,9400635963,2025,1017.03,INR,1017.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000240,1,2025-04-02 00:00:00+00:00,9400635962,2025,897.03,INR,897.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000243,1,2025-04-02 00:00:00+00:00,9400635960,2025,536.97,INR,536.97,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000246,1,2025-04-02 00:00:00+00:00,9400635958,2025,1167.0,INR,1167.0,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000247,1,2025-04-02 00:00:00+00:00,9400635957,2025,783.03,INR,783.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000268,1,2025-04-02 00:00:00+00:00,9400635943,2025,1194.03,INR,1194.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000270,1,2025-04-02 00:00:00+00:00,9400635942,2025,678.03,INR,678.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000271,1,2025-04-02 00:00:00+00:00,9400635941,2025,1614.0,INR,1614.0,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000272,1,2025-04-02 00:00:00+00:00,9400635940,2025,1494.0,INR,1494.0,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000274,1,2025-04-02 00:00:00+00:00,9400635939,2025,1493.97,INR,1493.97,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
ABCD,2025,9400000275,1,2025-04-02 00:00:00+00:00,9400635938,2025,897.03,INR,897.03,INR,320000083,,,,,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,15500020,D,ABC001,
