sales_order,sales_order_type,sales_organization,distribution_channel,organization_division,sales_group,sales_office,sold_to_party,creation_date,created_by_user,last_change_date_time,total_net_amount,overall_delivery_status,overall_ord_reltd_billg_status,overall_sd_doc_reference_status,transaction_currency,pricing_date,requested_delivery_date,header_billing_block_reason,delivery_block_reason,incoterms_classification,incoterms_location1,customer_payment_terms,total_credit_check_status
740506,OR,ABCD,5,99,,,310000108,2025-03-31 00:00:00+00:00,USER786,2025-03-31 06:42:38.786000+00:00,17108.25,C,,,INR,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,,,FOR,Millerborough,Z009,
740507,OR,ABCD,5,99,,,310000109,2025-03-31 00:00:00+00:00,USER786,2025-03-31 06:44:15.356000+00:00,19021.27,C,,,INR,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,,,FOR,Millerborough,Z009,
740508,OR,ABCD,5,99,,,310000109,2025-03-31 00:00:00+00:00,USER786,2025-03-31 11:07:27.454000+00:00,883.88,C,,,INR,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,,,FOR,Millerborough,Z009,
740509,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:39:58.854000+00:00,229.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740510,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:14.623000+00:00,221.19,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740511,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:22.270000+00:00,250.0,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740512,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:26.158000+00:00,249.15,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740513,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:33.724000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740514,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:39.147000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740515,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:44.660000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740516,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:49.102000+00:00,272.88,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740517,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:40:55.322000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740518,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:01.131000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740519,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:04.813000+00:00,329.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740520,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:09.116000+00:00,253.39,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740521,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:14.573000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740522,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:18.526000+00:00,329.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740523,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:22.717000+00:00,363.56,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740524,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:26.362000+00:00,253.39,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740525,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:33.477000+00:00,215.25,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740526,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:38.804000+00:00,185.59,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740527,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:42.911000+00:00,449.24,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740528,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:46.837000+00:00,253.39,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740529,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:50.899000+00:00,216.1,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740530,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:41:56.328000+00:00,179.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740531,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:02.063000+00:00,215.25,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740532,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 05:45:51.187000+00:00,167.0,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740533,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 07:49:34.972000+00:00,382.9,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740534,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:07.647000+00:00,310.76,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740535,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 07:45:54.506000+00:00,179.0,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740536,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:11.704000+00:00,168.64,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740537,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 07:44:13.885000+00:00,245.9,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740538,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:17.403000+00:00,287.29,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740539,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 07:42:32.717000+00:00,254.0,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
