sales_order,sales_order_item,sales_order_item_category,material,requested_quantity,requested_quantity_unit,transaction_currency,net_amount,material_group,production_plant,storage_location,sales_document_rjcn_reason,item_billing_block_reason
740506,10,TAN,S8907367001003,48,PC,INR,9966.1,ZFG1001,1920,,,
740506,20,TAN,S8907367000327,10,PC,INR,2366.95,ZFG1001,1920,,,
740506,30,TAN,S8907367020073,8,PC,INR,1181.69,ZFG1001,1920,,,
740506,40,TAN,S8907367025344,4,PC,INR,709.49,ZFG1001,1920,,,
740506,50,TAN,S8907367035664,11,PC,INR,2884.02,ZFG1001,1920,,,
740507,10,TAN,S8907367001003,24,PC,INR,4983.05,ZFG1001,1920,,,
740507,20,TAN,S8907367000327,15,PC,INR,3550.42,ZFG1001,1920,,,
740507,30,TAN,S8907367025344,34,PC,INR,6030.68,ZFG1001,1920,,,
740507,40,TAN,S8907367035664,17,PC,INR,4457.12,ZFG1001,1920,,,
740508,10,TAN,S8907367001003,1,PC,INR,207.63,ZFG1001,1920,,,
740508,20,TAN,S8907367000327,1,PC,INR,236.69,ZFG1001,1920,,,
740508,30,TAN,S8907367025344,1,PC,INR,177.37,ZFG1001,1920,,,
740508,40,TAN,S8907367035664,1,PC,INR,262.19,ZFG1001,1920,,,
740509,10,TAN,S8907367013532,1,PC,INR,229.66,ZFG1001,WB05,5101.0,,
740510,10,TAN,S8907367038122,1,PC,INR,221.19,ZFG1001,WB05,5101.0,,
740511,10,TAN,S8907367001003,1,PC,INR,250.0,ZFG1001,WB05,5101.0,,
740512,10,TAN,S8907367002512,1,PC,INR,249.15,ZFG1001,WB05,5101.0,,
740513,10,TAN,S8907367039280,1,PC,INR,363.56,ZFG1001,WB05,5101.0,,
740514,10,TAN,S8907367039280,1,PC,INR,363.56,ZFG1001,WB05,5101.0,,
740515,10,TAN,S8907367039280,1,PC,INR,363.56,ZFG1001,WB05,5101.0,,
740516,10,TAN,B8907367032571,1,PC,INR,272.88,ZFG1001,WB05,5101.0,,
740516,20,TAN,S8907367025412,2,PC,INR,0.0,ZFG1001,WB05,5101.0,,
740517,10,TAN,S8907367039280,1,PC,INR,363.56,ZFG1001,WB05,5101.0,,
740518,10,TAN,S8907367039280,1,PC,INR,363.56,ZFG1001,WB05,5101.0,,
740519,10,TAN,S8907367039280,1,PC,INR,329.66,ZFG1001,WB05,5101.0,,
