entity,records,columns,memory_mb
sales_order_headers,100,24,0.12705135345458984
sales_order_items,167,13,0.10966300964355469
sales_order_schedule_lines,179,6,0.055908203125
outbound_delivery_headers,86,13,0.07894325256347656
outbound_delivery_items,137,11,0.07255363464355469
billing_document_headers,163,14,0.14044761657714844
billing_document_items,245,9,0.11354446411132812
billing_document_cancellations,80,14,0.06869697570800781
journal_entry_items_accounts_receivable,123,22,0.14757633209228516
payments_accounts_receivable,120,23,0.1287059783935547
business_partners,8,19,0.008633613586425781
business_partner_addresses,8,20,0.008127212524414062
customer_company_assignments,8,13,0.004817962646484375
customer_sales_area_assignments,28,19,0.02344036102294922
products,69,17,0.058742523193359375
product_descriptions,69,3,0.012395858764648438
product_plants,3036,9,1.3574600219726562
product_storage_locations,16723,5,3.856809616088867
plants,44,14,0.028908729553222656
