from,to
740506,S8907367001003
740506,S8907367000327
740506,S8907367020073
740506,S8907367025344
740506,S8907367035664
740507,S8907367001003
740507,S8907367000327
740507,S8907367025344
740507,S8907367035664
740508,S8907367001003
740508,S8907367000327
740508,S8907367025344
740508,S8907367035664
740509,S8907367013532
740510,S8907367038122
740511,S8907367001003
740512,S8907367002512
740513,S8907367039280
740514,S8907367039280
740515,S8907367039280
740516,B8907367032571
740516,S8907367025412
740517,S8907367039280
740518,S8907367039280
740519,S8907367039280
740520,S8907367008620
740521,S8907367039280
740522,S8907367039280
740523,S8907367039280
740524,S8907367008620
740525,S8907367002512
740526,S8907367025344
740527,S8907367038108
740527,S8907367008620
740528,S8907367008620
740529,S8907367001003
740530,S8907367013532
740531,S8907367004448
740532,S8907367013587
740533,B8907367022152
740533,S8907367011866
740534,S8907367026433
740535,S8907367025344
740536,S8907367028192
740537,S8907367013532
740538,S8907367008620
740539,S8907367004448
740540,S8907367008620
740541,S8907367008620
740542,B8907367032571
740542,S8907367025412
740542,S8907367008620
740543,S8907367013532
740544,S8907367002512
740545,S8907367013532
740546,S8907367038122
740547,S8907367013532
740548,S8907367025344
740549,B8907367002246
740549,S8907367001836
740549,S8907367001874
740549,3001468
740549,S8907367001850
740549,S8907367001843
740549,3001456
740549,S8907367001867
740549,S8907367002550
740549,S8907367038108
740549,S8907367038122
740549,S8907367039280
740550,S8907367039280
740551,S8907367038122
740552,S8907367001003
740553,S8907367010814
740553,S8907367008620
740554,S8907367041993
740555,B8907367015697
740555,S8907367013532
740555,S8907367014447
740556,B8907367037859
740556,S8907367035978
740556,S8907367035992
740556,S8907367035985
740556,S8907367035961
740557,B8907367037859
740557,S8907367035961
740557,S8907367035978
740557,S8907367035985
740557,S8907367035992
740558,S8907367013532
740559,S8907367016144
740560,S8907367008620
740561,S8907367037156
740562,S8907367003380
740562,S8907367020035
740563,S8907367008620
740564,B8907367037842
740564,S8907367010814
740564,S8907367036722
740564,S8907367029021
740564,S8907367016144
740564,S8907367029038
740565,S8907367035664
740566,S8907367010814
740567,S8907367014867
740568,S8907367035664
740569,S8907367035664
740570,S8907367035664
740571,S8907367003380
740572,S8907367003311
740573,S8907367041993
740573,S8907367042006
740574,B8907367032649
740574,S8907367013082
740575,S8907367003311
740576,S8907367039303
740577,S8907367042006
740578,S8907367042006
740579,S8907367042006
740580,S8907367042006
740581,S8907367002499
740582,S8907367001003
740583,S8907367001003
740584,S8907367759287
740585,S8907367003342
740586,S8907367031635
740587,S8907367042006
740588,S8907367020790
740589,B8907367024125
740589,S8907367023128
740589,S8907367023159
740589,S8907367023135
740589,S8907367023142
740590,S8907367042006
740591,B8907367028406
740591,S8907367020790
740591,S8907367010814
740592,S8907367020035
740593,S8907367035664
740594,S8907367010814
740595,S8907367002512
740596,S8907367001003
740597,S8907367020790
740598,B8907367041603
740598,S8907367016144
740598,S8907367029021
740598,S8907367010814
740599,B8907367022787
740599,S8907367020783
740599,S8907367020790
740600,S8907367028659
740601,S8907367042006
740602,B8907367024125
740602,S8907367023128
740602,S8907367023159
740602,S8907367023142
740602,S8907367023135
740603,S8907367013587
740604,B8907367039570
740604,S8907367015277
740604,S8907367020035
740604,S8907367020042
740605,B8907367037859
740605,S8907367035992
740605,S8907367035978
740605,S8907367035985
740605,S8907367035961
