from,to
740506,310000108
740507,310000109
740508,310000109
740509,320000083
740510,320000083
740511,320000083
740512,320000083
740513,320000083
740514,320000083
740515,320000083
740516,320000083
740517,320000083
740518,320000083
740519,320000083
740520,320000083
740521,320000083
740522,320000083
740523,320000083
740524,320000083
740525,320000083
740526,320000083
740527,320000083
740528,320000083
740529,320000083
740530,320000083
740531,320000083
740532,320000082
740533,320000082
740534,320000083
740535,320000082
740536,320000083
740537,320000082
740538,320000083
740539,320000082
740540,320000083
740541,320000082
740542,320000082
740543,320000082
740544,320000082
740545,320000088
740546,320000085
740547,320000083
740548,320000083
740549,320000083
740550,320000083
740551,320000083
740552,320000083
740553,320000083
740554,320000083
740555,320000083
740556,320000083
740557,320000083
740558,320000083
740559,320000083
740560,320000083
740561,320000083
740562,320000083
740563,320000083
740564,320000083
740565,320000083
740566,320000083
740567,320000083
740568,320000083
740569,320000083
740570,320000083
740571,320000083
740572,320000083
740573,320000083
740574,320000083
740575,320000083
740576,320000083
740577,320000083
740578,320000083
740579,320000083
740580,320000083
740581,320000083
740582,320000083
740583,320000083
740584,320000108
740585,320000107
740586,320000083
740587,320000083
740588,320000108
740589,320000107
740590,320000083
740591,320000108
740592,320000083
740593,320000107
740594,320000108
740595,320000083
740596,320000108
740597,320000107
740598,320000083
740599,320000108
740600,320000107
740601,320000083
740602,320000107
740603,320000108
740604,320000083
740605,320000107
