id,total_net_amount
740506,17108.25
740507,19021.27
740508,883.88
740509,229.66
740510,221.19
740511,250.0
740512,249.15
740513,363.56
740514,363.56
740515,363.56
740516,272.88
740517,363.56
740518,363.56
740519,329.66
740520,253.39
740521,363.56
740522,329.66
740523,363.56
740524,253.39
740525,215.25
740526,185.59
740527,449.24
740528,253.39
740529,216.1
740530,179.66
740531,215.25
740532,167.0
740533,382.9
740534,310.76
740535,179.0
740536,168.64
740537,245.9
740538,287.29
740539,254.0
740540,253.39
740541,299.0
740542,589.95
740543,245.9
740544,287.9
740545,179.66
740546,221.19
740547,180.34
740548,151.69
740549,2033.65
740550,329.66
740551,221.19
740552,216.1
740553,561.14
740554,422.88
740555,429.66
740556,439.83
740557,439.83
740558,179.66
740559,375.42
740560,253.39
740561,422.03
740562,843.73
740563,481.44
740564,761.86
740565,422.03
740566,337.29
740567,191.53
740568,455.93
740569,422.03
740570,422.03
740571,253.39
740572,215.25
740573,842.93
740574,327.97
740575,215.25
740576,473.73
740577,464.41
740578,464.41
740579,464.41
740580,464.41
740581,205.93
740582,216.1
740583,216.1
740584,150.85
740585,177.97
740586,422.03
740587,464.41
740588,118.65
740589,131.31
740590,464.41
740591,303.39
740592,634.75
740593,422.04
740594,337.29
740595,215.25
740596,202.54
740597,118.64
740598,533.05
740599,202.56
740600,169.49
740601,464.41
740602,131.38
740603,133.9
740604,1091.53
740605,435.57
